Day,Period,9-A,9-B,9-C,9-Eng-A,9-Eng-B,9-Eng-C,9-Eng-D,9-Eng-E,10-A,10-B,10-C,10-EAL-A,10-EAL-B,10-EAL-C,11-A,11-B,12-A,12-B
Monday,1,Geography,Biology,Social,,,,,,Art,World History,PE,,,,Literature,Spanish,BC-Stats,BC-Stats
Monday,2,PE,Social,,,,,English,English,Micro-Econ,Pre-Cal,English,,,,Spanish,Literature,BC-Stats,BC-Stats
Monday,3,Social,Psychology,PE,,,,,,Chemistry,English,Micro-Econ,,,,Group 1 AP,Group 1 AP,Group 1 AP,Group 1 AP
Monday,4,,,Algebra,English,English,English,,,English,Micro-Econ,Pre-Cal,,,,Group 1 AP,Group 1 AP,Group 1 AP,Group 1 AP
Monday,5,Physics,Algebra,Chemistry,,,,,,Psych&Geo,Psych&Geo,Psych&Geo,EAL,EAL,EAL,Cal-ABBC,Art,Spanish,
Monday,6,Algebra,PE,Biology,,,,,,Pre-Cal,Chemistry,World History,,,,Cal-ABBC,English,,Spanish
Tuesday,1,Art,Algebra,,,,,English,English,Chemistry,English,Pre-Cal,,,,Group 2 AP,Group 2 AP,Group 2 AP,Group 2 AP
Tuesday,2,Algebra,Social,Art,,,,,,Phys&Bio,Pre-Cal,Phys&Bio,,,EAL,Group 2 AP,Group 2 AP,Group 2 AP,Group 2 AP
Tuesday,3,Psychology,Geography,Biology,,,,,,Micro-Econ,Chemistry,English,,,,Spanish,English,BC-Stats,BC-Stats
Tuesday,4,,,Social,English,English,English,,,English,Phys&Bio,World History,,,,PE,Art,,Spanish
Tuesday,5,Biology,Psychology,Algebra,,,,,,PE,Micro-Econ,Chemistry,,,,English,Spanish,AP Seminar,AP Seminar
Tuesday,6,Physics,Chemistry,PE,,,,,,Pre-Cal,Art,Micro-Econ,,,,English,Cal-ABBC,AP Seminar,AP Seminar
Tuesday,7,,,,,,,,,,,,,,,Literature,Cal-ABBC,PE,PE
Tuesday,8,,,,,,,,,,,,,,,Art,Literature,Counseling,Counseling
Wednesday,1,Algebra,Physics,,,,,English,English,Pre-Cal,English,Art,,,,Cal-ABBC,Literature,Spanish,
Wednesday,2,Psychology,Art,Physics,,,,,,World History,Phys&Bio,Chemistry,,,,Literature,Spanish,PE,PE
Wednesday,3,Geography,Social,Algebra,,,,,,Micro-Econ,PE,Pre-Cal,,,,Group 1 AP,Group 1 AP,Group 1 AP,Group 1 AP
Wednesday,4,,,Social,English,English,English,,,PE,World History,English,,,,Group 1 AP,Group 1 AP,Group 1 AP,Group 1 AP
Wednesday,5,,,Art,English,English,English,,,English,Micro-Econ,Spanish,,,,Group 3 AP,Group 3 AP,Group 3 AP,Group 3 AP
Wednesday,6,Chemistry,Geography,Psychology,,,,,,Art,Pre-Cal,Micro-Econ,,,,PE,English,BC-Stats,BC-Stats
Wednesday,7,Physics,Biology,Chemistry,,,,,,Psych&Geo,Psych&Geo,Psych&Geo,EAL,EAL,EAL,Spanish,PE,BC-Stats,BC-Stats
Wednesday,8,Social,Algebra,Geography,,,,,,Phys&Bio,Spanish,Phys&Bio,,,EAL,Group 2 AP,Group 2 AP,Group 2 AP,Group 2 AP
Thursday,1,Biology,Chemistry,Social,,,,,,Psych&Geo,Psych&Geo,Psych&Geo,EAL,EAL,EAL,Cal-ABBC,PE,Spanish,
Thursday,2,Algebra,Physics,Psychology,,,,,,Micro-Econ,English,Art,,,,Cal-ABBC,English,,Spanish
Thursday,3,Art,Algebra,Chemistry,,,,,,Spanish,Pre-Cal,Micro-Econ,,,,English,Cal-ABBC,AP Seminar,AP Seminar
Thursday,4,Chemistry,Biology,Physics,,,,,,Pre-Cal,Art,World History,,,,English,Cal-ABBC,AP Seminar,AP Seminar
Thursday,5,,,Algebra,English,English,English,,,English,Micro-Econ,Pre-Cal,,,,Group 3 AP,Group 3 AP,Group 3 AP,Group 3 AP
Thursday,6,Social,PE,,,,,English,English,World History,Chemistry,English,,,,Group 3 AP,Group 3 AP,Group 3 AP,Group 3 AP
Friday,1,PE,Social,Psychology,,,,,,Chemistry,Pre-Cal,English,,,,Group 2 AP,Group 2 AP,Group 2 AP,Group 2 AP
Friday,2,Chemistry,Art,Geography,,,,,,Phys&Bio,PE,Phys&Bio,,,EAL,Group 2 AP,Group 2 AP,Group 2 AP,Group 2 AP
Friday,3,Algebra,Chemistry,Physics,,,,,,Spanish,Micro-Econ,Pre-Cal,,,,English,Cal-ABBC,AP Seminar,AP Seminar
Friday,4,Psychology,Algebra,,,,,English,English,Pre-Cal,Phys&Bio,Micro-Econ,,,,Group 1 AP,Group 1 AP,Group 1 AP,Group 1 AP
Friday,5,Social,Physics,,,,,English,English,Micro-Econ,Spanish,PE,,,,Group 3 AP,Group 3 AP,Group 3 AP,Group 3 AP
Friday,6,,,Biology,English,English,English,,,English,World History,Chemistry,,,,Group 3 AP,Group 3 AP,Group 3 AP,Group 3 AP
Friday,7,Biology,Psychology,Algebra,,,,,,World History,English,Spanish,,,,Art,English,,
