Day,Period,Course,Teacher
Monday,1,EAL,LZY
Monday,2,EAL,LZY
Monday,3,[Free],
Monday,4,[Free],
Monday,5,[Free],
Monday,6,[Free],
Tuesday,1,[Free],
Tuesday,2,[Free],
Tuesday,3,[Free],
Tuesday,4,[Free],
Tuesday,5,[Free],
Tuesday,6,EAL,LZY
Wednesday,1,[Free],
Wednesday,2,[Free],
Wednesday,3,[Free],
Wednesday,4,[Free],
Wednesday,5,[Free],
Wednesday,6,EAL,LZY
Wednesday,7,EAL,LZY
Wednesday,8,[Free],
Thursday,1,[Free],
Thursday,2,[Free],
Thursday,3,[Free],
Thursday,4,[Free],
Thursday,5,[Free],
Thursday,6,[Free],
Friday,1,[Free],
Friday,2,[Free],
Friday,3,EAL,LZY
Friday,4,[Free],
Friday,5,[Free],
Friday,6,[Free],
Friday,7,[Free],
